codigo,nombre,precio,cantidad_bulto,marca
GEL 12,Set 12 Unidades Marcadores Fibras Gel Pastel Brillantes,1.90,120,SIN
GEL 24,Set 24 Unidades Marcadores Fibras Gel Pastel Brillantes,3.20,80,SIN
GEL 36,Set 36 Unidades Marcadores Fibras Gel Pastel Brillantes,5.00,40,SIN
GEL 48,Set 48 Unidades Marcadores Fibras Gel Pastel Brillantes,6.00,40,SIN
GEL 60,Set 60 Unidades Marcadores Fibras Gel Pastel Brillantes,7.40,30,SIN
GEL 100,Set 100 Unidades Marcadores Fibras Gel Pastel Brillantes,9.30,18,SIN
K-150,Marcadores Fibras Escolares 24 colores,1.90,60,SIN
K-151,Marcadores Fibras Escolares 36 colores,2.40,60,SIN
K-152,Marcadores Fibras Escolares 48 colores,3.20,40,SIN
K-153,Marcadores Fibras Escolares 60 colores,4.00,30,SIN
K-154,Marcadores Fibras Escolares 72 colores,4.90,30,SIN
K-155,Marcadores Fibras Escolares 100 colores,6.20,24,SIN
K-156,Marcadores Fibras Escolares 120 colores,8.50,24,SIN
