codigo,nombre,precio,cantidad_bulto,vendor,proveedor,category,tags,imagen
DCH-24059,PERFUME LATTAFA YARA rojo,8.2,48,LAMB,DCH,Perfume,"perfume, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24059.jpg
DCH-L3,PERFUME ODYSSEY DUBAI,10.5,48,LAMB,DCH,Perfume,"perfume, odyssey, dubai, chocolate",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-L3.jpg
DCH-2426B,PERFUME BADEE AL OUD OUD,9.0,48,LAMB,DCH,Perfume,"perfume, badee, glory, negro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-2426B.jpg
DCH-2426C,PERFUME BADEE AL OUD,9.0,48,LAMB,DCH,Perfume,"perfume, badee, noble, blush",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-2426C.jpg
DCH-2426D,PERFUME BADEE AL OUD,9.0,48,LAMB,DCH,Perfume,"perfume, badee, honor, glory, blanco",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-2426D.jpg
DCH-2426E,PERFUME BADEE AL OUD,9.0,48,LAMB,DCH,Perfume,"perfume, badee, amethyst, negro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-2426E.jpg
DCH-ORIEN2,PERFUME ORIENTICA ROYAL,12.3,48,LAMB,DCH,Perfume,"perfume, orientica, royal, amber",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-ORIEN2.jpg
DCH-ORIEN1,PERFUME ORIENTICA AMBER,12.3,48,LAMB,DCH,Perfume,"perfume, orientica, amber, rouge",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-ORIEN1.jpg
DCH-24284,PERFUME NOW INTENSE,8.0,72,LAMB,DCH,Perfume,"perfume, intense",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24284.jpg
DCH-AMF1,PERFUME club de nuit INTENSE,10.0,48,LAMB,DCH,Perfume,"perfume, intense",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMF1.jpg
DCH-AMF2,PERFUME club de nuit WOMEN,10.0,48,LAMB,DCH,Perfume,"perfume, women",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMF2.jpg
DCH-AMF3,PERFUME club de nuit,10.0,48,LAMB,DCH,Perfume,"perfume, silllage",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMF3.jpg
DCH-AMF4,PERFUME club de nuit UNTOLD,10.0,48,LAMB,DCH,Perfume,"perfume, untold",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMF4.jpg
